Row,Name,Assembly Length,# Genes,Published
478,Boliniaceae sp. AZ0804 v1.0,"37,032,637","9,820",
479,Bombardia bombarda SMH3391-2 v1.0,"38,597,794","12,102","Hensen N et al., 2023"
480,Boreostereum radiatum TFC1981-005 v1.0,"38,735,177","12,283",
481,Botryobasidium botryosum v1.0,"46,674,321","16,526","Riley R et al., 2014"
482,Botryosphaeria dothidea,"43,500,615","14,998","Marsberg A et al., 2017"
483,Botryozyma mucatilis CBS 9042 v1.0,"21,119,431","5,716",
484,Botrytis cinerea T4,"39,511,426","16,353","Amselem J et al., 2011"
486,Bretziella fagacearum C519 v1.0,"27,072,536","7,554",
487,Bulgaria inquinans CBS118.31 v1.0,"26,108,822","9,864",
488,Butyriboletus roseoflavus v1.0,"33,976,981","12,051","Wu G et al., 2022"
489,Byssochlamys spectabilis No. 5,"29,762,401","8,877","Oka T et al., 2014"
490,Byssothecium circinans CBS 675.92 v1.0,"49,288,729","15,785","Haridas S et al., 2020"
491,Cadophora malorum M34,"48,849,691","16,037","Stefanovic E et al., 2021"
492,Cadophora sp. DSE1049 v1.0,"70,459,101","22,766","Knapp DG et al., 2018"
494,Cadophora sp. UNIPAMPA014 v1.0,"46,752,869","14,730",
496,Calcarisporiella thermophila CBS 279.70,"28,155,144","11,754",
498,Calocera cornea v1.0,"33,244,933","13,177","Nagy LG et al., 2016"
499,Calocera viscosa v1.0,"29,097,227","12,378","Nagy LG et al., 2016"
500,Caloscypha fulgens ATCC 42695 v1.0,"44,839,139","9,203",
502,Calycina marina TRa3180A v1.0,"34,209,217","9,558","Hagestad OC et al., 2021"
503,Camillea tinctor CBS 203.56 v1.0,"45,006,662","11,860","Franco MEE et al., 2022"
504,Canariomyces arenarius CBS 508.74 v1.0,"30,991,681","10,954","Hensen N et al., 2023"
505,Candida albicans SC5314,"14,282,666","6,040","Jones T et al., 2004"
506,Candida arabinofermentans NRRL YB-2248 v1.0,"13,234,078","5,861","Riley R et al., 2016"
507,Candida boidinii NRRL Y-2332,"19,278,657","6,230","Krassowski T et al., 2018"
508,Candida dubliniensis CD36,"14,618,422","5,860","Jackson AP et al., 2009"
509,Candida membranifaciens IST 626 v1.0,"11,479,453","5,619","Palma M et al., 2022"
510,Candida orthopsilosis Co 90-125,"12,659,401","5,678","Riccombeni A et al., 2012"
511,Candida parapsilosis CDC317,"13,030,174","5,810","Butler G et al., 2009"
512,Candida tanzawaensis NRRL Y-17324 v1.0,"13,136,204","5,895","Riley R et al., 2016"
513,Candida tenuis NRRL Y-1498 v1.0,"10,747,050","5,533","Wohlbach DJ et al., 2011"
514,Candida tropicalis MYA3404,"14,609,527","6,134","Guin K et al., 2020"
516,Cantharellus anzutake C23 v1.0,"120,173,979","16,968","Miyauchi S et al., 2020"
517,Capnodiales sp. MNA-CCFEE 6580 v1.0,"44,610,251","11,911",
518,Capronia coronata CBS 617.96,"25,807,613","9,231","Teixeira MM et al., 2017"
519,Capronia epimyces CBS 606.96,"28,889,638","10,469","Teixeira MM et al., 2017"
520,Capronia fungicola CBS 614.96 v1.0,"25,191,286","9,241",
521,Capronia semiimmersa CBS27337,"31,616,172","11,909","Teixeira MM et al., 2017"
522,Catenaria anguillulae PL171 v2.0,"41,337,528","12,804","Mondo SJ et al., 2017"
523,Caulochytrium protostelioides ATCC 52028 single-cell v1.0,"10,621,701","3,328","Ahrendt SR et al., 2018"
525,Cenococcum geophilum 1.58 v2.0,"177,557,160","14,748","Peter M et al., 2016"
527,Cephaloascus fragrans 12-1022 v1.0,"13,697,830","5,717",
529,Ceraceosorus guamensis MCA 4658 v1.0,"24,148,100","7,822","Kijpornyongpan T et al., 2018"
530,Ceratobasidium sp. 379 v1.0,"83,869,204","17,852",
531,Ceratobasidium sp. 394 v1.0,"84,469,429","17,873",
532,Ceratobasidium sp. 395 v1.0,"85,352,376","18,780",
533,Ceratobasidium sp. 423 v1.0,"131,591,190","25,503",
534,Ceratobasidium sp. anastomosis group I; DN8442 v1.0,"58,444,101","18,060","Miyauchi S et al., 2020"
536,Cercophora caudata CBS 606.72 v1.0,"41,294,634","14,552","Hensen N et al., 2023"
537,Cercophora newfieldiana SMH2532-1 v1.0,"39,838,444","14,520","Hensen N et al., 2023"
538,Cercophora samala CBS 307.81 v1.0,"37,160,918","11,249","Hensen N et al., 2023"
539,Cercophora scortea SMH4131-1 v1.0,"40,165,273","11,779","Hensen N et al., 2023"
540,Cercospora berteroae CBS 538.71,"33,892,839","11,903","de Jonge R et al., 2018"
542,Cerinomyces ceraceus ATCC 56525 v1.0,"33,200,339","13,489",
543,Cerinomyces crustulinus OMC1686 v1.0,"33,673,684","12,395",
544,Ceriporia viridans OMC1683 v1.0,"62,630,014","14,481",
545,Ceriporiopsis (Gelatoporia) subvermispora B,"38,969,816","12,125","Fernandez-Fueyo E et al., 2012"
547,Chaetocladium brefeldii NRRL 2343 v1.0,"48,451,839","11,585",
548,Chaetomidium fimeti CBS 168.71 v1.0,"35,321,551","11,448","Hensen N et al., 2023"
549,Chaetomidium leptoderma CBS 538.74 v1.0,"31,974,232","10,261","Hensen N et al., 2023"
551,Chaetomium funicola MPI-SDFR-AT-0129 v1.0,"33,300,809","10,414","Mesny F et al., 2021"
552,Chaetomium globosum v1.0,"34,886,939","11,124","Cuomo CA et al., 2015"
553,Chaetomium olivicolor CBS 102434,"33,947,608","11,709",
554,Chaetomium sp. 1176438 v1.0,"33,837,664","9,520",
555,Chaetomium sp. MPI-CAGE-AT-0009 v1.0,"33,768,356","11,326","Mesny F et al., 2021"
557,Chaetomium thermophilum var thermophilum DSM 1495,"28,322,806","7,165","Amlacher S et al., 2011"
559,Chaetosphaeriaceae sp. FL1790 v1.0,"49,247,973","15,615",
560,Chaetothyriales sp. MNA-CCFEE 5317 v1.0,"55,759,905","14,070",
561,Chalara hyalina CBS 558.92 v1.0,"25,880,129","7,688",
563,Chalciporus piperatus 201810 CP v1.0,"46,257,842","13,336",
565,Chionosphaera cuniculicola CBS10063 v1.0,"14,160,267","7,187",
566,Chiua virens LA06,"48,496,802","13,144","Wu G et al., 2022"
567,Choanephora cucurbitarum NRRL2744 (50) v1.0,"35,108,735","11,534","Chang Y et al., 2022"
568,Choiromyces venosus 120613-1 v1.0,"126,035,033","17,986","Murat C et al., 2018"
570,Chytridium lagenaria Arg66 v1.0,"42,380,874","14,275","Amses KR et al., 2022"
572,Chytriomyces sp. MP 71 v1.0,"36,383,760","16,054","Amses KR et al., 2022"
573,Circinella umbellata NRRL1351 v1.0,"51,270,100","14,693","Chang Y et al., 2022"
574,Citeromyces matritensis NRRL Y-2407,"20,321,446","7,868","Krassowski T et al., 2018"
575,Cladochytrium polystomum WB228 v1.0,"81,192,468","16,599","Amses KR et al., 2022"
577,Cladonia grayi Cgr/DA2myc/ss v2.0,"34,622,149","11,389","Armaleo D et al., 2019"
579,Cladophialophora carrionii CBS 160.54,"28,991,111","10,373","Teixeira MM et al., 2017"
580,Cladophialophora immunda CBS83496,"43,029,152","14,033","Teixeira MM et al., 2017"
581,Cladophialophora psammophila CBS 110553,"39,420,127","13,421","Teixeira MM et al., 2017"
583,Cladophialophora yegresii CBS 114405,"27,898,422","10,118","Teixeira MM et al., 2017"
584,Cladorrhinum bulbillosum DJ3 v1.0,"39,735,607","12,786",
586,Cladorrhinum samala PSN324 v1.0,"36,213,901","10,895","Hensen N et al., 2023"
588,Cladorrhinum sp. PSN332 v1.0,"37,948,236","12,024","Hensen N et al., 2023"
590,Cladosporium sphaerospermum UM 843,"26,690,478","8,807","Ng KP et al., 2012"
592,Clavariopsis aquatica WDA-00-1,"34,185,686","11,608","Heeger F et al., 2021"
594,Clavispora lusitaniae ATCC 42720,"12,114,892","5,936","Butler G et al., 2009"
596,Clavogaster sp. whakapapa MYCOTA032 v1.0,"114,286,299","18,956",
598,Climacocystis borealis CliBor001 v1.0,"51,880,721","13,422",
600,Clitocybe sp. JGI1119283 v1.0,"71,337,806","15,344",
602,Clonostachys rosea 406A_c4.1 v1.0,"54,695,482","18,114",
604,Clonostachys rosea IK726,"70,045,661","19,941","Karlsson M et al., 2015"
605,Clonostachys sp. CORFU0009 v1.0,"58,385,546","18,327",
606,Coccidioides immitis RS,"28,947,925","9,910","Sharpton TJ et al., 2009"
608,Coccidioides posadasii Silveira,"27,583,241","10,228","Neafsey DE et al., 2010"
609,Coccodinium bartschii CBS 121709 v1.0,"28,268,635","9,532",
610,Coccomyces strobi CBS 202.91 v1.0,"32,666,196","11,537",
612,Cochliobolus heterostrophus C4 v6.0,"37,785,996","11,324","Haridas Sajeet et al., 2023"
614,Cochliobolus heterostrophus HAW225 v4.0,"44,199,412","11,727","Haridas Sajeet et al., 2023"
616,Cochliobolus heterostrophus Hm540,"32,575,369","10,409","Condon BJ et al., 2013"
618,Cochliobolus heterostrophus PR9b v4.0,"38,410,429","11,145","Haridas Sajeet et al., 2023"
620,Cochliobolus miyabeanus ATCC 44560 v1.0,"31,362,097","12,007","Condon BJ et al., 2013"
622,Cochliobolus victoriae FI3 v1.0,"32,829,575","12,894","Condon BJ et al., 2013"
624,Coemansia reversa NRRL 1564 v1.0,"21,838,014","7,347","Chang Y et al., 2015"
625,Coemansia spiralis RSA 1278 v1.0,"18,931,979","7,247","Chang Y et al., 2022"
627,Colletotrichum abscissum IMI 504890,"53,936,108","17,280","Baroncelli R et al., 2024"
629,Colletotrichum caudatum CBS131602 v1.0,"44,202,764","15,294","Baroncelli R et al., 2024"
631,Colletotrichum chlorophyti NTL11,"52,387,045","10,310","Gan P et al., 2017"
632,Colletotrichum costaricense IMI 309622,"51,625,248","17,126","Baroncelli R et al., 2024"
633,Colletotrichum cuscutae IMI 304802,"80,453,496","17,289","Baroncelli R et al., 2024"
635,Colletotrichum falcatum MAFF306170 v1.0,"49,085,377","15,619","Baroncelli R et al., 2024"
636,Colletotrichum filicis CBS 101611,"62,965,231","17,391","Goulin E et al., 2023"
638,Colletotrichum gloeosporioides Cg-14,"53,209,944","16,538","Alkan N et al., 2013"
639,Colletotrichum godetiae CBS 193.32 v1.0,"51,652,851","16,071","Baroncelli R et al., 2024"
640,Colletotrichum graminicola M1.001,"51,604,658","12,006","O'Connell RJ et al., 2012"
642,Colletotrichum incanum MAFF 238712,"53,254,579","11,852","Gan P et al., 2016"
644,Colletotrichum lupini IMI 504893,"63,407,421","18,324","Baroncelli R et al., 2021"
645,Colletotrichum melonis CBS 134730,"50,135,825","16,823","Baroncelli R et al., 2024"
647,Colletotrichum nymphaeae SA-01,"49,956,273","14,404","Baroncelli R et al., 2016"
649,Colletotrichum orchidophilum IMI 309357,"48,556,462","14,496","Baroncelli R et al., 2018"
651,Colletotrichum phormii CBS102054 v1.0,"51,666,170","15,209","Baroncelli R et al., 2024"
653,Colletotrichum simmondsii CBS122122,"50,474,234","13,884","Baroncelli R et al., 2016"
655,Colletotrichum sublineola CBS 131301 v1.0,"46,916,122","15,208","Baroncelli R et al., 2024"
656,Colletotrichum sublineola TX430BB,"46,755,813","12,699","Baroncelli R et al., 2014"
658,Colletotrichum tofieldiae 0861,"52,836,184","12,501","Hacquard S et al., 2016"
660,Colletotrichum zoysiae MAFF238573 v1.0,"46,533,813","15,326","Baroncelli R et al., 2024"
662,Conidiobolus thromboides FSU 785 v1.0,"24,635,576","8,867","Amses KR et al., 2022"
664,Coniochaeta ligniaria CBS 111746,"43,695,863","12,318",
666,Coniochaeta ligniaria R110-5 v1.0,"32,102,481","10,509","Nelson AR et al., 2022"
667,Coniochaeta sp. 2T2.1 v1.0,"74,351,065","24,735","Mondo SJ et al., 2019"
668,Coniochaeta sp. PMI_546 v1.0,"33,513,814","11,346",
670,Coniophora puteana v1.0,"42,968,544","13,761","Floudas D et al., 2012"
672,Conocybe apala SZMC-NL-8967 v1.0,"64,080,092","17,284",
674,Coprinellus micaceus FP101781 v2.0,"77,386,123","23,559","Varga T et al., 2019"
675,Coprinellus pellucidus v1.0,"41,561,493","16,047",
677,Coprinopsis cinerea AmutBmut pab1-1 v1.0,"34,118,803",NO DATA,"Muraguchi H et al., 2015"
678,Coprinopsis cinerea AmutBmut v2,"37,271,365","13,154",
680,Coprinopsis sclerotiger v1.0,"30,495,150","12,039",
682,Copromyces sp. CBS 386.78 v1.0,"50,044,663","10,890","Hensen N et al., 2023"
683,Cordyceps militaris CM01,"32,268,578","9,651","Zheng P et al., 2011"
685,Corollospora maritima CBS 119819 v2.0,"36,970,979","12,991",
687,Cortinarius aff. campbellae TAS5-PSC4363 v1.0,"76,968,950","17,407",
688,Cortinarius archeri SA1 v1.0,"87,732,974","15,180",
689,Cortinarius austrovenetus TL2843-KIS7R v1.0,"62,325,647","14,941",
691,Cortinarius sp. KIS3-TL2766 v1.0,"50,107,275","11,569",
693,Corynascus novoguineensis CBS 359.72 v1.0,"32,248,778","9,528","Hensen N et al., 2023"
695,Corynespora cassiicola CCP v1.0,"44,846,156","17,166","Lopez D et al., 2018"
697,Crepidotus cesatii CBS 511.95 v1.0,"36,042,615","12,891",
699,Cristinia sonorae KKN 215 v1.0,"30,130,434","11,356",
701,Cronartium quercuum f. sp. fusiforme G11 v1.0,"76,567,842","13,903","Pendleton AL et al., 2014"
702,Cronartium ribicola Cypress_4 v1.0,"211,630,673","14,868",
704,Crustoderma dryinum OMC1663 v1.0,"72,793,219","17,221",
705,Cryomyces antarcticus CBS 116301 v3.0,"51,659,106","9,404","Gomez-Gutierrrez Sandra V. et al., 2024"
706,Cryomyces minteri CCFEE 5187,"44,136,976","13,960","Coleine C et al., 2020"
708,Cryptococcus amylolentus CBS 6039,"20,254,996","10,306","Sun S et al., 2017"
710,Cryptococcus gattii CA1873,"17,438,253","6,634","Farrer RA et al., 2015"
711,Cryptococcus gattii VGII 2001/935-1,"17,566,680","6,495","Farrer RA et al., 2015"
712,Cryptococcus gattii VGIV IND107,"17,649,378","6,696","Farrer RA et al., 2015"
714,Cryptococcus neoformans var neoformans JEC21,"19,051,922","6,475","Loftus BJ et al., 2005"
716,Cryptococcus terreus 61-443 v1.0,"23,434,789","7,527",
718,Cryptococcus wingfieldii CBS 7118,"19,969,799","8,098","Passer AR et al., 2019"
720,Cryptodiaporthe sp. AZ0812 v1.0,"41,659,411","12,727",
722,Cunninghamella echinulata NRRL 1382 v1.0,"29,002,410","10,443","Chang Y et al., 2022"
724,Cyathus stercoreus NK-82 v1.0,"202,911,832","33,641","Kraisitudomsook N et al., 2024"
726,Cyberlindnera fabianii 65,"12,188,250","5,509","van Rijswijck IM et al., 2017"
728,Cylindrobasidium torrendii FP15055 v1.0,"31,574,086","13,940","Floudas D et al., 2015"
730,Cyphellophora europaea CBS 101466,"28,781,303","11,094","Teixeira MM et al., 2017"
732,Cystostereum murrayi CysMur001 v1.0,"32,382,358","13,196",
734,Cytospora chrysosperma CFL2056 v1.0,"36,553,556","10,847",
736,Dacrymyces tortus OMC1693 v1.0,"42,698,988","15,305",
738,Dacryopinax primogenitus DJM 731 SSP1 v1.0,"29,503,487","10,242","Floudas D et al., 2012"
739,Dactylonectria estremocensis MPI-CAGE-AT-0021 v1.0,"64,663,708","19,198","Mesny F et al., 2021"
741,Dactylospora haliotrepha ATCC 66950 v1.0,"35,763,917","10,873",
742,Daedalea quercina v1.0,"32,736,329","12,199","Nagy LG et al., 2016"
744,Daldinia caldariorum CBS 122874 v1.0,"35,556,611","10,402","Franco MEE et al., 2022"
746,Daldinia eschscholtzii EC12 v1.0,"37,551,009","11,173","Wu W et al., 2017"
747,Daldinia eschscholtzii FL0578 v1.0,"36,821,210","11,046","Franco MEE et al., 2022"
749,Daldinia loculata AZ0526 v2.0,"35,622,534","10,820","Franco MEE et al., 2022"
751,Daldinia loculatoides CBS 113279 v1.0,"37,410,143","10,859",
753,Daldinia vernicosa CBS 139.73 v1.0,"35,841,789","10,674","Franco MEE et al., 2022"
755,Darksidea alpha DSE7024 v1.0,"47,550,924","15,932",
757,Debaryomyces fabryi CBS 789,"11,700,921","6,027","Tafer H et al., 2016"
758,Debaryomyces fabryi NRRL Y-17914,"11,912,606","6,116","Shen XX et al., 2018"
759,Debaryomyces hansenii CBS 767,"12,152,486","6,272","Sacerdot C et al., 2008"
761,Debaryomyces subglobosus dep8 v1.0,"11,838,087","5,831",
763,Dekkera bruxellensis CBS 2499 v2.0,"13,385,232","5,636","Piškur J et al., 2012"
764,Delitschia confertaspora ATCC 74209 v1.0,"31,159,062","10,171","Haridas S et al., 2020"
765,Delphinella strobiligena CBS 735.71 v1.0,"29,209,081","10,337","Haridas S et al., 2020"
766,Dendrothele bispora CBS 962.96 v1.0,"130,650,616","33,645","Varga T et al., 2019"
767,Dendrothele microspora FP 101998 v1.0,"45,655,992","17,356",
769,Dentipellis sp. KUC8613 v1.0,"36,706,823","14,320","Park H et al., 2019"
770,Diaporthaceae sp. PMI_573 v1.0,"83,857,806","22,973",
772,Diaporthe cf. heveae 1 LGMF1633 v1.0,"52,450,198","16,378",
774,Diaporthe inconspicua LGMF1612 v1.0,"56,256,810","17,139",
776,Diatrype disciformis NRRL 26140 v1.0,"70,726,175","13,319",
778,Dichomitus squalens CBS 464.89 v2.0,"45,603,164","13,877",
780,Dichomitus squalens CBS464.89 v1.0,"39,597,219","15,295","Casado López S et al., 2019"
782,Dichomitus squalens OM18370.1 v1.0,"39,319,619","14,950","Casado López S et al., 2019"
783,Dichotomocladium elegans RSA 919- v1.0,"39,778,020","12,396","Chang Y et al., 2022"
784,Dichotomocladium robustum RSA 2353+ v1.0,"38,615,751","12,069",
785,Didymella exigua CBS 183.55 v1.0,"34,389,227","12,394","Haridas S et al., 2020"
787,Didymocrea sadasivanii CBS 438.65 v1.0,"45,143,804","13,361",
788,Digitatispora marina 008cD1.1 v1.0,"36,890,282","11,553",
789,Dimargaris cristalligena RSA 468 single-cell v1.0,"30,776,575","7,456","Ahrendt SR et al., 2018"
791,Dioszegia hungarica PDD-24b-2,"20,956,533","8,219","Jarrige D et al., 2022"
793,Diplogelasinospora grovesii CBS 340.73 v1.0,"48,188,163","13,057","Hensen N et al., 2023"
795,Dipodascopsis uninucleata Phaff 50-6 v1.0,"16,242,528","6,018","Czajka JJ et al., 2024"
797,Dissoconium aciculare v1.0,"26,537,235","10,299","Haridas S et al., 2020"
799,Dissophora ornata CBS 347.77 v1.0,"38,942,631","12,584","Chang Y et al., 2022"
800,Dissophora ornata NRRL 22417,"38,407,782","11,261","Vandepol N et al., 2020"
801,Dothideomycetes sp. P12C66 v1.0,"43,266,265","14,073",
803,Dothistroma septosporum NZE10 v1.0,"30,209,431","12,580","de Wit PJ et al., 2012"
805,Drechslerella stenobrocha 248,"21,174,508","5,597","Liu K et al., 2014"
807,Earliella scabrosa CIRM-BRFM 1817 v1.0,"51,673,276","17,744","Hage H et al., 2021"
808,Echinodontium tinctorium Aho-80 v1.0,"40,414,111","12,508",
809,Echria (Arnium) macrotheca PSN4 v1.0,"37,830,185","12,289","Hensen N et al., 2023"
810,Edhazardia aedis USNM 41457,"51,348,006","4,190","Desjardins CA et al., 2015"
811,Elaphomyces granulatus OSC145934,"54,153,615","7,178","Quandt CA et al., 2015"
813,Elsinoe ampelina CECT 20119 v1.0,"28,270,677","10,209","Haridas S et al., 2020"
814,Elytroderma deformans CBS183.68 v1.0,"50,483,512","12,886",
815,Emergomyces pasteurianus UAMH 9510,"32,410,993","8,950","Dukik K et al., 2017"
816,Emericellopsis sp. TS7 v1.0,"27,300,990","9,964","Hagestad OC et al., 2021"
818,Emmonsia parva UAMH 130,"27,837,035","8,201","Muñoz JF et al., 2018"
820,Encephalitozoon hellem ATCC 50504,"2,251,784","1,847","Pombert JF et al., 2012"
822,Encephalitozoon romaleae SJ-2008,"2,187,595","1,831","Pombert JF et al., 2012"
823,Endocarpon pallidulum Enpa,"41,444,434","11,601","McDonald TR et al., 2013"
825,Endogone sp FLAS 59071,"95,552,741","9,569","Chang Y et al., 2019"
827,Enterocytozoon hepatopenaei TH1,"3,253,521","2,536","Wiredu Boakye D et al., 2017"
829,Entoleuca mammata CFL468 v1.0,"47,195,832","11,498",
831,Entomophaga maimaiga ARSEF 7190 v1.0,"1,177,390,011","14,701",
833,Entomortierella chlamydospora AD033,"39,048,271","11,098","Vandepol N et al., 2020"
835,Entomortierella echinosphaera CBS 575.75 v1.0,"44,006,319","13,087",
837,Entomortierella lignicola NRRL 2525 v1.0,"39,509,364","12,213",
839,Entophlyctis luteolus JEL0129 v1.0,"38,480,498","12,279",
841,Epicoccum nigrum cont 1108929 v1.0,"33,605,341","12,218",
843,Eremomyces bilateralis CBS 781.70 v1.0,"26,864,015","9,881","Haridas S et al., 2020"
845,Eremothecium gossypii ATCC 10895,"9,095,748","4,768","Dietrich FS et al., 2004"
847,Erysiphe necator c,"52,505,057","6,484","Jones L et al., 2014"
848,Erysiphe pisi Palampur-1 v2.0,"76,364,965","7,543",
850,Erythrobasidium hasegawianum ATCC 9536 v1.0,"40,686,788","9,521",
851,Escovopsis weberi CC031208-10,"27,128,709","6,754","de Man TJ et al., 2016"
852,Eurotium rubrum v1.0,"26,209,327","10,076","Kis-Papo T et al., 2014"
854,Exidia glandulosa v1.0,"78,171,509","26,765","Nagy LG et al., 2016"
856,Exobasidium vaccinii MPITM v1.0,"16,990,195","7,453",
858,Exophiala alcalophila J33 v1.0,"29,703,595","12,081",
860,Exophiala dermatitidis UT8656,"26,350,763","9,562","Chen Z et al., 2014"
862,Exophiala oligosperma CBS72588,"38,224,514","13,234","Teixeira MM et al., 2017"
864,Exophiala sp. JF 06-1F Fuzzy v1.0,"36,371,821","13,998",
866,Exophiala viscosa JF 03-3F Goopy CBS 148801 v1.0,"28,289,675","11,344","Carr Erin C et al., 2023"
868,Exophiala xenobiotica CBS118157,"31,405,760","13,187","Teixeira MM et al., 2017"
870,Favolaschia claudopus CIRM-BRFM 2984 v1.0,"264,579,338","49,883","Navarro D et al., 2024"
871,Fellomyces penicillatus Phaff54-35 v1.0,"21,049,006","8,340",
872,Fenestella fenestrata ATCC 66461 v1.0,"32,694,302","11,804",
873,Fennellomyces linderi CBS 158.54 v1.0,"45,939,458","12,952",
874,Fennellomyces sp. T-0311 v1.0,"45,897,337","14,128","Wang Y et al., 2023"
876,Fibulobasidium inconspicuum Phaff89-39 v1.0,"20,291,509","8,148",
877,Fibulorhizoctonia psychrophila CBS 109695 v1.0,"95,125,689","32,946","Nagy LG et al., 2016"
879,Filobasidium wieringae UCDFST 05-544 v1.0,"19,655,301","7,467",
880,Fimicolochytrium jonesii JEL569 v1.0,"30,619,153","10,067","Amses KR et al., 2022"
881,Fistulina hepatica v1.0,"33,847,808","11,244","Floudas D et al., 2015"
883,Flavodon flavus 38 v1.0,"31,510,012","11,282",
884,Flavomyces fulophazii DSE8309 v1.0,"42,104,155","12,521",
886,Fomitiporia mediterranea v1.0,"63,354,420","11,333","Floudas D et al., 2012"
888,Fomitopsis rosea Sig1Fomros20-ss v1.0,"34,744,036","12,672",
890,Fonsecaea erecta CBS 125763,"34,747,975","12,090","Vicente VA et al., 2017"
891,Fonsecaea monophora CBS 269.37,"35,229,797","11,984","Bombassaro A et al., 2016"
892,Fonsecaea multimorphosa CBS 102226,"33,447,075","12,369","Teixeira MM et al., 2017"
894,Fonsecaea pedrosoi CBS 271.37,"34,688,880","12,527","Teixeira MM et al., 2017"
896,Friedmanniomyces simplex CCFEE 5184,"37,790,643","13,766","Coleine C et al., 2020"
898,Fusarium avenaceum MPI-SDFR-AT-0044 v1.0,"42,232,206","14,043","Mesny F et al., 2021"
900,Fusarium bataticola FSSC 23 v1.0,"50,406,540","16,777",
902,Fusarium concolor NRRL 13459 v1.0,"55,594,331","17,463",
904,Fusarium cucurbiticola NRRL 22153 v1.0,"41,937,282","12,687",
906,Fusarium dimerum 206A_c13_1 v1.0,"38,494,070","13,482",
908,Fusarium equiseti NRRL 66338 v1.0,"41,082,092","13,772",
910,Fusarium fujikuroi IMI 58289,"43,832,314","14,813","Wiemann P et al., 2013"
912,Fusarium graminearum Z3639 v3.0,"36,824,640","12,411",
914,Fusarium graminearum v1.0,"36,446,046","13,322","Cuomo CA et al., 2007"
916,Fusarium lateritium NRRL 13622 v1.0,"48,864,911","15,798",
918,Fusarium mori NRRL 22230 v1.0,"43,636,654","14,523",
920,Fusarium nygamai NRRL 66327 v1.0,"51,003,625","16,925",
922,Fusarium oxysporum 212A_T16_2 v1.0,"58,210,329","19,237",
924,Fusarium oxysporum F10-04 v1.0,"57,881,757","18,482",
926,Fusarium oxysporum F10-10 v1.0,"53,047,923","16,942",
928,Fusarium oxysporum F2-02 v1.0,"55,422,652","17,736",
930,Fusarium oxysporum F2-06 v1.0,"55,311,470","17,672",
932,Fusarium oxysporum Fo47,"49,664,628","24,818","DeIulio GA et al., 2018"
934,Fusarium oxysporum Fo5176 v1.0,"67,983,296","19,130","Fokkens L et al., 2020"
936,Fusarium oxysporum MPI-SDFR-AT-0094 v1.0,"52,242,347","17,445","Mesny F et al., 2021"
938,Fusarium oxysporum NRRL 26365,"48,455,509","16,047",
940,Fusarium oxysporum f. sp. albedinis isolate 9 v1.0,"65,559,131","19,411","Khoulassa S et al., 2022"
942,Fusarium oxysporum f. sp. cubense tropical race 4 54006 (II5),"46,553,780","22,487","DeIulio GA et al., 2018"
944,Fusarium oxysporum f. sp. lycopersici 4287 v3.0,"55,580,320","17,629",
946,Fusarium oxysporum f. sp. matthiolae PHW726,"57,218,285","17,996",
948,Fusarium oxysporum f. sp. pisi F105 v1.0,"71,466,443","19,358",
950,Fusarium oxysporum f. sp. pisi F23 v1.0,"73,302,618","20,063",
952,Fusarium oxysporum f. sp. pisi HDV247,"55,188,216","26,378","Williams AH et al., 2016"
954,Fusarium oxysporum f. sp. radicis-lycopersici 26381 (CL57),"49,359,289","24,739","DeIulio GA et al., 2018"
956,Fusarium oxysporum f. sp. vasinfectum 25433 (Cotton),"52,914,414","25,216","DeIulio GA et al., 2018"
958,Fusarium oxysporum f.sp. basilici Amherst-33 v1.0,"56,731,494","18,076",
960,Fusarium oxysporum f.sp. cubense II5 v2.0,"49,425,076","16,048","Zhang Y et al., 2024"
962,Fusarium poae NRRL 26941 v1.0,"44,047,998","13,865",
964,Fusarium proliferatum ET1,"45,210,324","16,143","Niehaus EM et al., 2016"
966,Fusarium proliferatum NRRL 62905,"43,166,078","15,254","Niehaus EM et al., 2016"
968,Fusarium pseudograminearum NRRL 62612 v1.0,"37,147,499","12,635",
970,Fusarium redolens MPI-CAGE-AT-0023 v1.0,"52,563,400","17,051","Mesny F et al., 2021"
972,Fusarium sp. FIESC 12 MPI-CAGE-AA-0113 v1.0,"40,328,194","13,580","Mesny F et al., 2021"
974,Fusarium sp. NRRL 66182 v1.0,"35,667,573","11,515",
976,Fusarium sporotrichioides NRRL 3299 v1.0,"38,014,067","12,917",
978,Fusarium sulawesiensis NRRL 66472 v1.0,"38,297,523","13,224",
980,Fusarium tricinctum MPI-SDFR-AT-0068 v1.0,"43,693,088","14,106","Mesny F et al., 2021"
982,Fusarium vanettenii 77-13-4 v3.0,"54,588,008","16,929",
984,Fusarium vanettenii T126 v1.0,"57,327,274","18,069",
986,Fusarium vanettenii T161 v1.0,"53,460,856","17,043",
988,Fusarium vanettenii T200 v1.0,"52,494,114","17,115",
990,Fusarium vanettenii T23 v1.0,"61,889,200","18,783",
992,Fusarium vanettenii T31 FSSC 11 v1.0,"52,053,908","16,729",
994,Fusarium vanettenii T343 v1.0,"58,078,874","18,752",
996,"Fusarium vanettenii T77, FSSC 11 v1.0","54,392,499","17,174",
997,Fusarium vanettenii T78 v1.0,"58,002,859","18,014",
998,Fusarium vanettenii T95 v1.0,"51,641,605","16,846",
1000,Fusarium ventricosum NRRL 25729 v1.0,"37,094,901","11,433",
